what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359964068036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359964073997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359964092158
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1359964109682
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359964112520
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1359964115133
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1359964118178
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359964118508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359964142782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359964150380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359964152345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359964167761
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1359964173510
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359964173728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359964201582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359964209277
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359964211230
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1359964213708
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359964219734
